adduser	3.134
libgnutls30:arm64	3.7.9-2+deb12u7
libgomp1:arm64	12.2.0-14+deb12u1
libgpg-error0:arm64	1.46-1
libgprofng0:arm64	2.40-2
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5
libhogweed6:arm64	3.8.1-2
libhwasan0:arm64	12.2.0-14+deb12u1
libicu72:arm64	72.1-3+deb12u1
libidn2-0:arm64	2.3.3-1+b1
libisl23:arm64	0.25-1.1
libitm1:arm64	12.2.0-14+deb12u1
libjansson4:arm64	2.14-2
libjson-perl	4.10000-1
libk5crypto3:arm64	1.20.1-2+deb12u5
libkeyutils1:arm64	1.6.3-2
libkrb5-3:arm64	1.20.1-2+deb12u5
libkrb5support0:arm64	1.20.1-2+deb12u5
libldap-2.5-0:arm64	2.5.13+dfsg-5
libllvm14:arm64	1:14.0.6-12
liblsan0:arm64	12.2.0-14+deb12u1
liblz4-1:arm64	1.9.4-1
liblzma5:arm64	5.4.1-1+deb12u1
libmd0:arm64	1.0.4-2
libmount1:arm64	2.38.1-5+deb12u3
libmpc3:arm64	1.3.1-1
libmpfr6:arm64	4.2.0-1
libncursesw6:arm64	6.4-4
libnettle8:arm64	3.8.1-2
libnghttp2-14:arm64	1.52.0-1+deb12u3
libnsl-dev:arm64	1.3.0-2
libnsl2:arm64	1.3.0-2
libp11-kit0:arm64	0.24.1-2
libpam-modules:arm64	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam0g:arm64	1.5.2-6+deb12u2
libpcre2-8-0:arm64	10.42-1
libperl5.36:arm64	5.36.0-7+deb12u3
libpq5:arm64	15.19-0+deb12u1
libpsl5:arm64	0.21.2-1
libreadline8:arm64	8.2-1.3
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2:arm64	2.1.28+dfsg-10
libsasl2-modules-db:arm64	2.1.28+dfsg-10
libseccomp2:arm64	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:arm64	3.4-1+b5
libsepol2:arm64	3.4-2.1
libsmartcols1:arm64	2.38.1-5+deb12u3
libsqlite3-0:arm64	3.40.1-2+deb12u2
libss2:arm64	1.47.0-2+b2
libssh2-1:arm64	1.10.0-3+deb12u1
libssl3:arm64	3.0.20-1~deb12u2
libstdc++-12-dev:arm64	12.2.0-14+deb12u1
libstdc++6:arm64	12.2.0-14+deb12u1
libsystemd0:arm64	252.39-1~deb12u2
libtasn1-6:arm64	4.19.0-2+deb12u1
libtinfo6:arm64	6.4-4
libtirpc-common	1.3.3+ds-1
libtirpc-dev:arm64	1.3.3+ds-1
libtirpc3:arm64	1.3.3+ds-1
libtsan2:arm64	12.2.0-14+deb12u1
libubsan1:arm64	12.2.0-14+deb12u1
libudev1:arm64	252.39-1~deb12u2
libunistring2:arm64	1.0-2
libuuid1:arm64	2.38.1-5+deb12u3
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6
libxslt1.1:arm64	1.1.35-1+deb12u4
libxxhash0:arm64	0.8.1-1
libz3-4:arm64	4.8.12-3.1
libzstd1:arm64	1.5.4+dfsg2-5
linux-libc-dev:arm64	6.1.187-1
locales	2.36-9+deb12u14
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
make	4.3-4.1
mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
netbase	6.4
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
patch	2.7.6-7
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
perl-modules-5.36	5.36.0-7+deb12u3
postgresql-15	15.19-0+deb12u1
postgresql-client-15	15.19-0+deb12u1
postgresql-client-common	248+deb12u1
postgresql-common	248+deb12u1
readline-common	8.2-1.3
rpcsvc-proto	1.4.3-1
sed	4.9-1+deb12u1
sensible-utils	0.0.17+nmu1
ssl-cert	1.1.2
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
xz-utils	5.4.1-1+deb12u1
zlib1g:arm64	1:1.2.13.dfsg-1
